"","logFC","logCPM","F","PValue","FDR"
"EIF4E1B",-2.19616624437455,3.77031749885003,35.911327688618,4.19061856063522e-09,1.53461796273957e-08
"TTC9B",-0.946742738651707,6.78578175552095,36.5064079754278,4.19838896919449e-09,1.5371347124168e-08
"SPRN",-1.05079326878599,5.4233889304698,36.0916582153321,4.22687561418463e-09,1.54723349400985e-08
"MMS19",0.512384567125836,5.9563174715996,36.0984952329104,4.26097423863084e-09,1.55938176497136e-08
"MAX",0.455671483499892,6.57396869088341,36.1470164996638,4.26644004126668e-09,1.56104837585992e-08
"LRP4",0.588300994270326,8.69050430361831,36.5145262532243,4.28917140954914e-09,1.56903022503165e-08
"WDR11",0.4969774345543,6.42353745438382,36.0815883345151,4.32114617120572e-09,1.58038928543136e-08
"MDH1B",-2.20658762823532,3.52492273546569,35.7797573230302,4.34674747781225e-09,1.58941300342045e-08
"PLXNB3",2.35972067920445,1.74946702561509,36.9241577669078,4.37003821115628e-09,1.59758817371334e-08
"SMIM1",2.36717123976457,1.79477320355337,36.6829560634151,4.38890656289065e-09,1.60414347473715e-08
"ZNF529",0.485748623191168,6.21698832407187,36.0246535501553,4.39100443099997e-09,1.60456768108259e-08
"TTC8",-0.740602525428498,5.8580627342338,35.9356267802861,4.3964531926989e-09,1.60621593382427e-08
"HEATR6",0.80610623235179,4.34937496224481,35.7180592210361,4.4553816219269e-09,1.6273977675995e-08
"ZHX1-C8orf76",1.48793632505521,2.5658828263154,35.7089150985579,4.47144758182451e-09,1.63291771759462e-08
"SOCS2",-1.97476654691761,3.56004217830217,35.6044378536649,4.55323181203769e-09,1.66242969976723e-08
"ABRACL",-1.05332588929719,4.90013651618087,35.7344897275735,4.61282544648733e-09,1.6836083891256e-08
"ZNF322",1.03000387832554,3.45447782650992,35.6168994221959,4.61320499613796e-09,1.6836083891256e-08
"SORD",0.931079077601528,3.78325388426995,35.5795298264142,4.64583934639042e-09,1.69515706756615e-08
"NR3C1",0.494995622681957,7.92461889410482,35.9791480017967,4.68546564736807e-09,1.70925147843472e-08
"SLC30A3",-1.01011403983695,6.12094997505503,36.0033834057795,4.69235387917735e-09,1.7113996252986e-08
"FAM127B",0.679447367351132,4.78760974841257,35.7076063729988,4.72115780028018e-09,1.7215382649797e-08
"FJX1",-1.83244112551572,3.90537788897088,35.7468957739289,4.754613636212e-09,1.73336851473487e-08
"SIK2",0.488547796218738,7.81131475445476,35.8825921299282,4.89026265989263e-09,1.78244191478309e-08
"CCDC120",-1.5077247092854,3.65189507601748,35.4239561550525,4.98941082458276e-09,1.81819313147844e-08
"VTI1A",0.418648097770954,8.02344950277355,35.8150684645391,5.00346899382462e-09,1.82292805222978e-08
