,sum_sq,df,F,PR(>F),p_val_adj
RPL22L1,5.687081158974857,12.0,1.0485547201987668,0.416592849046976,0.5296861300779557
RPL23,1.935592404692269,12.0,0.5508535181931914,0.8729820868900208,0.9037008494753581
RPL24,17.769251426642807,12.0,3.542260207054369,0.00041792784956222386,0.0033875701045501384
RPL26,12.484714029630505,12.0,3.3237036608218467,0.0007888546633172975,0.005532196298420164
RPL27,3.990130240307633,12.0,1.0723472321684193,0.3968427074869162,0.5121412264246005
RPL27A,3.539067234317235,12.0,1.2670893398986245,0.258349507071198,0.3792860747945777
RPL28,4.053244268776565,12.0,1.5446960269288403,0.12992994761844498,0.2329429434716981
RPL3,3.685857112105876,12.0,1.3370769907732123,0.21881192802805913,0.3368701276178513
RPL30,4.396139341090866,12.0,1.5272551926257247,0.13593747116989607,0.24061361485418276
RPL31,10.724898603917639,12.0,2.412751852528526,0.011404191366083023,0.03974632630540972
RPL34,1.9569550911325972,12.0,0.6357004680744074,0.804466143903112,0.8514395693172248
RPL35,2.8904215257826364,12.0,1.0597783976147273,0.4072040400393655,0.5210581990942854
RPL35A,6.984945770205996,12.0,2.3391921015288664,0.014130297951120497,0.04687023902518643
RPL36,3.416238526545588,12.0,0.881695057386573,0.5689988983930774,0.6627883436310508
RPL36AL,10.823344208125217,12.0,1.2893856467909446,0.2451818083815694,0.3651947737912473
RPL38,1.7830624126364636,12.0,0.5590479506509202,0.8669076302227331,0.8993765489767921
RPL4,5.217884009834388,12.0,1.3338101244254998,0.22054158710377536,0.33890970194451997
RPL5,6.260744474029425,12.0,2.1737463475262255,0.022811321183859538,0.06649149903797993
RPL6,3.0259918444354406,12.0,1.0663504004873303,0.4017659738239192,0.5161324785582595
RPL7,6.793439922685014,12.0,2.6469171691701945,0.0057438252716292,0.024095281595062266
RPL7A,5.665325374122814,12.0,1.0663757054916516,0.4017451207820723,0.5161324785582595
RPL7L1,24.135797816151268,12.0,3.500649222788244,0.00047149273756993346,0.003713972495693697
RPL8,3.3803781237364503,12.0,1.500093196466997,0.14578279344252193,0.2524671735976569
RPLP1,7.1745396443446205,12.0,3.0192823775027544,0.0019230544518728323,0.010647916652342177
RPLP2,4.950867739276246,12.0,2.3023519559737804,0.015727035625944158,0.05083522937584323
RPN1,13.263518572127376,12.0,1.2481018166481497,0.26999338932382655,0.39145002816781527
RPN2,6.1915031192991785,12.0,0.9153345653455003,0.5366869531567454,0.636012028914712
RPP14,15.064075334754587,12.0,1.7953756201559814,0.06636876561728179,0.1428935228706634
RPP30,12.471013907772047,12.0,1.2487839333063933,0.2695681844014991,0.39095666120160716
RPP38,13.242469453476058,12.0,1.4525149904167158,0.16453834273365311,0.2747178712405218
RPP40,15.018539800240966,12.0,2.401108738849737,0.011798269729508423,0.040764903440642986
RPRD1A,12.184800261482605,12.0,1.1950031711178302,0.3046867575242666,0.42618193274851085
RPRD1B,19.37405632787717,12.0,2.0982540157968375,0.028329554485843813,0.07715425545863645
RPRD2,6.526322186968507,12.0,0.6950421370821057,0.7506101471703363,0.8097299212208173
RPRM,19.545801111370878,12.0,5.289969450693819,3.2546250260102238e-06,8.371113754050878e-05
RPS11,2.5978846503288824,12.0,1.3043300750327116,0.23665784926522698,0.3561859228561965
RPS12,3.8861024172441754,12.0,1.493724639162086,0.14817988970585502,0.25527416733611097
RPS13,4.728518662629446,12.0,1.944459320825331,0.043831056655523656,0.10584746123369049
RPS14,5.366000026302805,12.0,2.2644865665362177,0.017552433984450697,0.054983909906226876
RPS15,4.436347793269756,12.0,1.9968768353764208,0.037804599286682485,0.09537116444706091
RPS16,4.148046912505961,12.0,2.404102855600887,0.011695665267363303,0.040467059627220504
RPS19BP1,7.5763860650485695,12.0,1.4187955902567808,0.17906068710177947,0.2920150957693617
RPS2,13.153529650966135,12.0,2.853571685689387,0.0031292151514819982,0.01524540376446891
RPS20,4.070854446244412,12.0,1.348242237013966,0.21298405437958842,0.3307179043384908
RPS23,4.874609584908697,12.0,1.5984415534507843,0.11287771770151683,0.2106135814783317
RPS24,4.368718850991973,12.0,1.6954884462034867,0.0871287344464933,0.1748651671280101
RPS26,15.043946778343251,12.0,2.525854166513652,0.008192655613815056,0.03140631677435846
RPS27,2.97832218281711,12.0,0.9391570418363538,0.5141939537673421,0.6164971258189696
RPS27A,12.222753045179509,12.0,3.9271786834098688,0.00013824898113063834,0.001459858507168484
RPS28,3.7762226053307613,12.0,1.7661535294148427,0.07190775883591907,0.15137783341589914
RPS29,15.402173744767522,12.0,3.356585033459758,0.0007167499972384528,0.005132063743834893
RPS3,10.378267026637069,12.0,3.6183000462121675,0.0003354274200500009,0.0028838615161721833
RPS3A,6.424373235016631,12.0,2.126366340385488,0.026138019431175847,0.07317140254524614
RPS4X,6.700895675862306,12.0,2.700905427666395,0.0049014761498660155,0.021420404550529792
RPS4Y1,14.559279560021125,12.0,2.0088252912640474,0.03654651633650605,0.09280759029965464
RPS4Y2,17.800111055531268,12.0,2.1131893993879625,0.02714397832437396,0.07496753221680727
RPS5,7.134881804829536,12.0,2.431414326846621,0.010799452313187892,0.03824667573070542
RPS6KA2,19.25019132696585,12.0,2.516858524439361,0.0084113874485532,0.031978553107464024
