,sum_sq,df,F,PR(>F),p_val_adj
SESTD1,14.715989247689503,12.0,1.5187489877047649,0.13895566320755548,0.24422671250528172
ZNF385B,14.857145898298272,12.0,2.9245291312586126,0.0025401536274457597,0.013008751168810097
CWC22,7.388581987035153,12.0,0.9090552794108965,0.5426734667177748,0.6412084282737419
UBE2E3,4.152176860279724,12.0,2.1549805548629206,0.024076547288986196,0.06910749608384816
ITPRID2,6.504747162486618,12.0,1.2324021123578106,0.27992293474633057,0.40180598039816845
PDE1A,24.02622334796977,12.0,7.212116417609458,2.684336251434473e-08,1.9933361454200506e-06
DNAJC10,17.98374710205127,12.0,2.1901601795609813,0.021757903848459787,0.06421371110148004
FRZB,26.02446556935557,12.0,14.11618503703243,3.9084224642281763e-14,2.7683656962010033e-11
NCKAP1,9.932578549937721,12.0,1.2472519804106292,0.2705238662811745,0.391848947729598
NUP35,8.496123068634333,12.0,0.7912730871787045,0.6576236716366597,0.7344328403190251
ZNF804A,9.01003347284306,12.0,1.003171017787175,0.45581170405018495,0.5646595144482851
ZC3H15,16.423993868229303,12.0,2.785975425963796,0.0038171365748159674,0.017709740586431204
ITGAV,6.476284791040804,12.0,1.6884984999958368,0.08878595683479258,0.17730234017236393
FAM171B,19.953795738852165,12.0,4.512459671791121,2.669922806435238e-05,0.0004256607847071473
TFPI,7.364962168265842,12.0,1.2687641365956888,0.25734152763456425,0.37816801571322495
GULP1,10.938249653190587,12.0,3.390308728430837,0.0006497017952338992,0.004763100422383554
COL3A1,6.328521630864658,12.0,1.9776712882664185,0.039914274741126216,0.09904141007255879
COL5A2,20.129573953568727,12.0,3.5555466909958917,0.0004021561252305604,0.003291603200998222
WDR75,7.371210683430944,12.0,0.703851352879258,0.7423196120915442,0.8031111488824978
SLC40A1,1.29709809625994,12.0,0.3269662174110161,0.9817713467683324,0.9871338087430758
ASNSD1,11.608052448543672,12.0,1.2909337527382965,0.2442876172784958,0.3639806439968267
OSGEPL1,19.389645168353567,12.0,2.4504682844947427,0.01021469694231107,0.036669368204600525
ORMDL1,13.106151535863514,12.0,1.2712710888880534,0.25583846667887644,0.37662039986876006
PMS1,17.592837937991632,12.0,1.9798934054084532,0.039664529833813814,0.098684407108824
HIBCH,6.719517132334141,12.0,1.1294342807352578,0.35188976841185293,0.47169301032074845
INPP1,15.697079633984194,12.0,2.063524361935803,0.03128328583651395,0.08246678957418278
