"","logFC.spline_1.human","logFC.spline_2.human","logFC.spline_3.human","logCPM","F","PValue"
"FN1",-0.247867866859021,0.38756723531784,0.459880092636952,9.15141110199386,1.0690810043093,0.366010801966933
"FN3KRP",-0.0267533642511823,0.259718131500669,-0.138007807375004,8.8112698166405,0.684065298783474,0.565549238194615
"FNBP1",-0.25005123467627,-0.590166885769253,-0.216860714085273,8.83894638813424,1.76302872996413,0.162772002053595
"FNBP1L",0.0804692393898381,-0.254902251616727,-0.0778267162362573,9.35900415516157,0.680295141647021,0.566128940331219
"FNBP4",-0.156397163759051,-0.459057266444724,0.111777167047122,8.83408348290566,1.15667312071648,0.334127871428046
"FNDC1",0.245207344941685,0.237250968009125,0.449087328528049,8.72733172946351,1.56042892235867,0.228524505697374
"FNDC10",-0.254525260446414,-0.142618510876161,-0.0607179281687521,8.80811002830639,1.52084919721339,0.219898840878995
"FNDC3A",-0.0423054290299832,0.0839810572704889,0.109303591659375,8.94574788999754,0.294349893929288,0.829396762904578
"FNDC4",-0.093860820994486,-0.0745582764158595,-0.152521489177145,9.24891406529646,0.931862850165357,0.428199152018803
"FNDC5",0.00897379471333985,-0.491042037765186,-0.057821605261191,8.81446068089782,0.47658017956515,0.699804377093765
"FNIP2",-0.0740138328406918,0.116811219804275,0.219843377499996,9.01887038573182,0.496660591507476,0.685473466235283
"FNTB",0.0547902112392763,0.114653138513746,0.0556203783287406,8.7461879786469,0.784856996660767,0.511345389428086
"FOCAD",-0.360599302154881,-0.392609747594717,-0.139962476074978,8.82490488813445,1.35857123706627,0.263194891679516
"FOS",-0.220284419292683,-0.896924662264017,0.725519923148367,8.77908449407304,0.0792156194553535,0.97086921154939
"FOXG1",-0.0859589577678939,-0.429752008086172,0.0789176757891934,9.61096673430098,0.178349637596617,0.910531471150104
"FOXJ2",-0.16989856026909,-0.317232587164718,-0.103274328510396,8.91757960616516,0.654168714419486,0.58251959739056
"FOXJ3",0.21024889723246,-0.376247851739427,0.266745780980325,9.03743511765681,3.83812356163653,0.0119446535238649
"FOXK1",0.262380904640933,-0.374701792225306,0.125534955893145,8.80988823434915,0.890286020499667,0.452101072930308
"FOXK2",0.249256687310647,0.614872634253343,0.0899283588974667,8.84218520625028,0.127246917192116,0.94358522489854
"FOXN3",-0.587996850270295,-0.882767263315769,-0.095100586259965,8.86302301685548,0.506075327626219,0.679583122355748
"FOXO3",-0.231374511550725,-0.257963423151857,-0.311620335965547,8.93076061928764,0.629488269603109,0.598996269769501
"FOXO6",0.145672371233373,-0.432472357579271,0.360303467201392,8.84456077828797,2.9789254144603,0.0374275429281955
"FOXP1",1.96689110021276,1.59430314017195,0.312499914449101,9.28412551793327,3.80681256060293,0.0138769811292852
