"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"SIRT5",0.0644927208012682,-0.32716525488081,-0.0641043134832821,9.16293577768749,0.5547056660773,0.646984963392209
"SIRT6",0.201007128164226,0.000153744261884414,0.139349113183513,9.11654798148155,0.781648784424849,0.511062016484299
"SIRT7",0.545012320683725,0.424649601092163,0.00714601382476255,9.12995532831457,3.28589446463778,0.028878199828554
"SIVA1",-0.253448213027223,0.644712056275239,0.12477859676428,9.27771313868264,1.89569018346895,0.136437291215888
"SKA2",0.153266620163148,0.220211553054996,0.0261125073275196,9.25186544390029,0.966747640548553,0.412830211274104
"SKI",0.0222563762234044,-0.0661191834351973,0.00574913755804177,9.02957227637225,0.0726166749803475,0.973517099631109
"SKIL",0.134251466414906,-0.439796442606696,0.0418729307661797,9.12055947490671,1.30198428122961,0.28599992574452
"SKIV2L",0.135330813502486,-0.0970698063263255,-0.168061073345208,9.11537545018871,0.201613335030412,0.894662371894021
"SKP1",0.273756618233761,0.23769546588229,-0.135757625371762,11.049356001536,6.65195086737178,0.000658601704299165
"SLA",0.954329934114467,0.271390315251194,0.39960774384852,9.37934127157884,8.10493224159214,8.3038629453374e-05
"SLAIN1",-0.539836457490021,0.567535946005657,1.28994603349184,9.18844701904783,0.0656741103939373,0.977786597556377
"SLAIN2",-0.050531212152778,-0.157000959343669,0.0745907800612612,9.15362887496166,0.257474675139435,0.85569400615136
"SLBP",-0.0466630641485142,0.0100851291989756,0.174365768388407,9.19112525945712,0.388964687430999,0.761421636557601
"SLC10A4",0.500428847456808,0.113426620005434,-0.012506330627778,9.10995314713184,1.46955541132225,0.237236436421532
"SLC11A2",0.0982903426821269,0.416078681845192,0.218175274202417,9.13808501332629,0.224519221702967,0.878867323888755
"SLC12A2",-0.220237313441575,-0.32424585203813,0.232381635320918,9.10982059317482,4.69776337331884,0.00687339613981061
"SLC12A5",-0.260687923646291,-0.632282955941544,0.167643192637283,9.40847441699416,0.680745347996981,0.568152080448472
"SLC12A6",0.0483897572526345,-0.0459165302075187,-0.0274318981119062,9.0411764799423,0.0464314298015226,0.986174734362036
"SLC12A9",-0.0955875285082236,0.390650191321369,0.403661366597141,9.10510323484085,1.3103394732204,0.285942743576628
"SLC15A2",-0.115298490977868,0.196527047859157,0.394739752218424,9.10138085073313,1.45939790111191,0.242752670334265
"SLC16A1",-0.616904869772952,-1.02970431644123,0.567555733240067,9.12150804859228,0.0320982734417315,0.992158499236729
"SLC16A14",-0.185792505536109,-0.0753403304791282,-0.105792204290851,9.15651168098345,0.604351887110951,0.615399316152559
"SLC16A2",0.0240346030418851,-0.524748773381837,-0.0363387429688975,9.09900190649597,0.521263208933044,0.670298069946576
"SLC17A5",-0.147009828584746,-0.221999303432273,-0.158279370143292,9.06532983040462,0.409831750910154,0.747466244523484
"SLC17A6",0.124947815032752,-0.0154237728801036,0.116469571156892,9.17474024458751,0.755718034142558,0.523662635002639
"SLC17A7",0.699910524166431,0.0221316515103834,-0.492066766004014,10.5191355346416,13.3499611078001,8.31642432495687e-07
"SLC18B1",0.276855538952476,0.12545302010538,-0.0671821431473601,9.10938847928365,0.393393163847567,0.758458039931724
"SLC1A1",-0.329743270616611,-0.499211282311096,-0.0220184658764828,9.37365371941551,1.74816851294459,0.162699335648091
"SLC1A2",-0.128119061907615,-2.80759509012868,-0.661562999850208,9.25812125431551,0.614486146343096,0.609990361289776
"SLC1A3",-0.792876537097866,-1.13753276298367,-0.439178730483011,10.392239100094,6.20843170640143,0.0010747011738604
"SLC1A4",-0.184608205394485,-0.386577589220514,-0.324149640170677,9.28717752998854,5.7807242903467,0.00133277706076605
"SLC1A6",-0.378285891166251,-0.53401740865579,-0.511006543557771,9.33672498738309,4.83754875677247,0.00375017321107162
"SLC20A1",0.0970086826348417,0.543231951783084,-0.159733006988047,9.22764955500586,2.39250708093816,0.0751715940097505
