"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"NCSTN",-0.0207768337088635,-0.219929375597498,-0.00920234600888807,8.84392349615878,0.148374733607821,0.930492731591782
"NDC1",-0.406741694718984,-0.501766976099656,0.151361820550426,8.71961857072242,4.4569690046072,0.00686052554682518
"NDEL1",0.098556156163094,0.238184015113868,-0.220403582216343,9.0003341977463,0.937796985948251,0.425465041420781
"NDFIP1",0.141866642953094,-0.470586212526153,-0.448564247389225,10.6563745557561,4.27215763712947,0.00824218040151971
"NDFIP2",-0.47299829118538,-0.913636331956682,-0.269277746493829,8.84513877453203,0.227449850868253,0.876939997709423
"NDRG1",-0.237575391420487,-0.378182169577467,-0.572784205935519,9.17727551125367,6.02024086115185,0.000815153361627149
"NDRG2",-0.832732148504005,-0.681941530748353,-0.337488266285044,9.30837854467541,5.30515053627183,0.0020087991115508
"NDRG3",0.135335042716574,-0.282180775180844,-0.538519548221345,9.34727250218219,6.49303999518142,0.000481326103209471
"NDRG4",0.535484568953441,0.304847890135043,-0.546191028863398,10.1699939516935,28.1364614697871,3.05014294983579e-12
"NDST1",-0.0983274664907945,-0.134015572607762,-0.258897066809122,8.69697786200309,1.67667286838144,0.184661830419899
"NDST3",0.828431595270713,-0.101525944591466,0.871850299776466,8.72255058748448,0.838443332215891,0.480359489399294
"NDUFA1",-0.0696276552900899,0.22818761632394,-0.421466742577626,9.82094901437183,9.88274864156297,1.36282690283622e-05
"NDUFA10",0.368260933311887,0.298987771648125,-0.147095084140936,9.16355339624469,4.21472452861346,0.00746808321003435
"NDUFA12",0.17437121289641,0.400054831336539,-0.36442064065795,9.25788945130488,6.71243751974181,0.000357671668432405
"NDUFA2",0.0691750893425316,0.490790070912124,-0.349221142186999,9.50455946803996,17.6458749292121,4.61580275413766e-09
"NDUFA4",0.103365245853843,0.316284978840251,-0.408229926015782,11.1664962386551,11.9351275629098,3.2109868362847e-06
