,sum_sq,df,F,PR(>F),p_val_adj
ZNF528,0.027908953818793054,12.0,1.3805480551449658,0.19683877067679909,0.2803978032784601
ZNF529,0.03383509052545895,12.0,1.7127150613980875,0.08316546320937851,0.1392341064058104
ZNF536,0.22496272721889968,12.0,4.3653912114839,4.017288115538792e-05,0.00021905104912129877
ZNF540,0.04461838165747332,12.0,1.9821333841004607,0.03941429260224852,0.07530687941896363
ZNF558,0.011102059224841665,12.0,1.3467485625266373,0.2137562359984824,0.29972094123253024
ZNF562,0.020602457930818944,12.0,2.4698372693238606,0.009652346806941095,0.023260277938367723
ZNF566,0.014440138386924832,12.0,1.0023366537743779,0.45655073390899664,0.546318279120733
ZNF567,0.008649278333745236,12.0,0.9326146007455547,0.5203348980994142,0.6070244193208421
ZNF568,0.015493685035831954,12.0,0.813228847720325,0.6360146912681262,0.7102999729771868
ZNF569,0.012619191900409756,12.0,0.981567858778991,0.47514299469061283,0.5646769095393861
ZNF570,0.011600320030521022,12.0,1.170227826788669,0.3219567698032547,0.41439445573782074
ZNF574,0.022852338320085454,12.0,0.9569439276272118,0.49764990789218355,0.585670066315104
ZNF575,0.02251779375224075,12.0,1.6996034415117,0.08616649159823551,0.1434239072011122
ZNF576,0.06964049046917685,12.0,2.9265304381485815,0.0025252590625515054,0.007576600015631887
ZNF579,0.08132972020788964,12.0,3.9755456017402473,0.00012046382997687405,0.0005615341939588655
ZNF581,0.10774642432626885,12.0,10.09083707923311,5.3287085631881204e-11,1.482379107245807e-09
ZNF583,0.025299409062547584,12.0,1.893137753145446,0.05061253278849738,0.0923583436219746
ZNF584,0.015615646846047097,12.0,0.8901206003620926,0.5608534685428627,0.6443342156385127
ZNF585A,0.02033101247269307,12.0,1.8078631831527208,0.06412575968005091,0.11255623239304398
ZNF589,0.022062715110209675,12.0,1.7278038451809312,0.07983154781874376,0.1346409780029357
ZNF592,0.03999596128315539,12.0,1.8804064399564873,0.05244298836883958,0.09524556940833824
ZNF593,0.05294543865464196,12.0,2.4479381405460625,0.010290506866986248,0.024509825978067605
ZNF595,0.012234949054510696,12.0,1.2147142642562647,0.2914395203976847,0.3829848870874669
ZNF596,0.008253204267472352,12.0,0.34082623400643536,0.9783271468861704,0.9854894586379466
ZNF598,0.034424474043924055,12.0,2.021806851747748,0.03522525280509738,0.0687336570945829
ZNF605,0.02677477097742036,12.0,1.416012919276698,0.180306559901474,0.26092453301473717
